Param1	Param2	Boards Accepted	Boards Scored	Board	Score	Time
27	240	560	15680	drsteeeontrpsias	2281	41.386
27	250	603	16884	prndbaesiltrstes	2184	38.199
27	260	961	26908	istrlaeibengmars	1941	62.803
27	270	1657	46396	saistnrtseaedplc	2484	114.16
27	280	1084	30352	setsntriiaedplsr	2825	78.004
27	290	405	11340	sirctenelatssire	2142	31.318
28	10	39	1131	ltsoaeahtsrieidr	885	2.321
28	20	43	1247	teesdnpmseatntre	1067	2.418
28	30	110	3190	pldssaeitertnoss	1901	7.249
28	40	83	2407	snidamegeralsted	1745	5.6
28	50	219	6351	sblcroaeetsrhstc	1485	12.666
28	60	185	5365	ztspstemeralidep	1818	11.938
28	70	254	7366	estodetrriaesgns	1872	16.158
28	80	233	6757	sachntreiesadret	1927	16.789
28	90	324	9396	sretdersnotasubc	1813	20.595
28	100	498	14442	sedalirspateesni	2774	35.124
28	110	335	9715	tpohsreteiasdgnc	2103	20.925
28	120	982	28478	segsrntreiaetslb	2996	69.35
28	130	536	15544	snsmetieratrlspo	2188	36.198
28	140	422	12238	saepntlseiaesrmp	2577	30.154
28	150	227	6583	edapdletiesrnars	1612	15.002
28	160	324	9396	nistsetarserapod	1886	22.193
28	170	608	17632	gidsnerasatetchs	2207	39.85
28	180	723	20967	stnseiaedrlpsees	3014	52.112
28	190	802	23258	plcdeaietrnsseto	2933	55.579
28	200	1230	35670	desgrtnesaitmpls	2762	81.852
28	210	468	13572	psecsarnteitslas	1807	33.015
28	220	606	17574	sgotrnrseiaestlb	2838	41.347
28	230	486	14094	istrlaestercsida	2027	33.165
28	240	664	19256	sehtrtseiaerclbd	2159	43.738
28	250	595	17255	darspetenstlliar	1961	40.716
28	260	1144	33176	sdebtraletissned	2674	78.454
28	270	1162	33698	etsedrngeiaestlp	2579	78.671
28	280	716	20764	sresetinalagpsed	2612	51.743
28	290	718	20822	desorintpatesers	2750	53.278
29	10	32	960	slysuterosteprat	1381	1.974
29	20	53	1590	lstcnirateptsipu	1057	2.875
29	30	87	2610	esrmntsaaietsrcs	1508	4.792
29	40	175	5250	milsnategeradist	2770	12.229
29	50	400	12000	derolntsiaetsrps	2182	29.042
29	60	519	15570	uoesntrlseiadnts	2239	32.614
29	70	690	20700	clpsiaerntrdesei	2847	50.548
29	80	287	8610	sesunrpoeirastac	1893	18.903
29	90	177	5310	coseuarsbrtedeit	1406	11.207
29	100	317	9510	gnieertssaetmtls	1901	21.811
29	110	289	8670	loctsarsteieednt	2098	19.853
29	120	693	20790	setadnrseiaelstl	2655	50.901
29	130	340	10200	snimutadoressnir	1972	22.86
29	140	449	13470	pesprtaloierdnst	2348	32.533
29	150	205	6150	quirsdenoyetmstas	1178	9.828
29	160	735	22050	stnsreirmatesils	2296	52.493
29	170	572	17160	mispdnerseatrlts	1980	39.874
29	180	718	21540	dniseatlpreaosid	2417	51.779
29	190	497	14910	nsesetsrlarepech	2076	39.111
29	200	736	22080	dscogeranitesals	2639	51.865
29	210	940	28200	sltsgiaenerpdtso	2778	67.113
29	220	1192	35760	sntseaierlprdeso	2942	89.015
29	230	1202	36060	rstolerniaeipstd	2361	84.98
29	240	686	20580	ctlssaecneradits	2243	49.563
29	250	616	18480	derssitanaltgres	2510	43.125
29	260	912	27360	drpseiaestnlresi	2754	64.553
29	270	625	18750	teitsnrmeiaedlts	2577	45.786
29	280	1202	36060	densliteparssted	2815	89.937
29	290	943	28290	smesplaneritsdes	2832	64.115
